URI,Name cs ,Name sk ,Name en ,Has birth date 
http://example.org/vocabulary/karelMatej,Karel Matej Čech-Chod,,,1860-02-21
http://example.org/vocabulary/johnDomiesavac,,John Domiešavač,,1992-04-17
http://example.org/vocabulary/alenaVybusna,Alena Výbušná,,,1986-04-26
http://example.org/vocabulary/petrKopecky,Petr Kopecký,,,1969-04-20
http://example.org/vocabulary/diaLiskova,,Dia Líšková,,2000-05-27
http://example.org/vocabulary/josefUridil,Josef Uřídil,,,1985-11-19
http://example.org/vocabulary/olkeSyba,,,Olke Rene Syba,1899-09-19
http://example.org/vocabulary/jaroslavMira,Mgr. Jaroslav Mira Ph.D.,,,1968-08-21
http://example.org/vocabulary/marieSkaropova,Mgr. Marie Škaropová Ph.D.,,,1957-09-10
http://example.org/vocabulary/jiriHrivnak,doc. Ing. Jiří Hrivnák Ph.D.,,,1968-08-20
http://example.org/vocabulary/janaStikarova,PhDr. Mgr. Jana Štikarová Ph.D.,,,1989-01-09
